SiteNumber,SiteName,County,WSGMonitored,GreenCrabObserved,LatitudeDD,LongitudeDD,HabType,Hab1Isolated,Hab1Slough,Hab1Tideflat,Hab2Vegetation,Hab2Impoundment,Hab3Waves,Hab3Freshwater,Hab4Houses,Hab4Road,Hab5Park
528,Shore Trail,Skagit,CURRENT,NO,48.4718416,-122.4702043,Tideflat,0,0,1,1,0,0,0,0,0,1
529,Alice Bay,Skagit,CURRENT,NO,48.5569462,-122.4858987,Channel,0,1,1,1,0,0,0,0,1,0
533,Westcott Bay,San Juan,CURRENT,YES,48.6083411,-123.1435999,Channel,0,1,0,1,0,0,0,1,1,1
536,Third Lagoon,San Juan,CURRENT,NO,48.46161,-122.9751923,Lagoon,1,0,0,1,0,0,0,0,1,0
540,Spencer Spit,San Juan,CURRENT,NO,48.5358345,-122.8552321,Lagoon,1,0,0,1,0,0,0,0,1,0
541,Cypress Island,Skagit,CURRENT,NO,48.5512078,-122.6964201,Channel,0,1,0,1,0,0,0,1,0,0
552,Elger Bay,Island,CURRENT,NO,48.1312959,-122.470491,Channel,1,1,0,1,0,0,0,1,1,0
553,Blakely Harbor,Kitsap,CURRENT,NO,47.595538,-122.516886,Lagoon,1,0,0,1,1,0,0,1,1,0
579,Point Heyer,King,CURRENT,NO,47.4227576,-122.4306703,Lagoon,1,0,0,1,0,0,0,1,1,0
581,Rabb's Lagoon,King,CURRENT,NO,47.392326,-122.433954,Lagoon,1,0,0,0,1,0,0,1,1,0
590,Lagoon Point Community,Island,CURRENT,YES,48.07932,-122.61137,Lagoon,1,0,0,0,1,0,0,1,1,0
599,Davis Slough,Island,CURRENT,NO,48.2401754,-122.3949708,Channel,0,1,0,1,0,0,0,0,0,0
299,Port Susan Bay,Snohomish,FORMER,NO,48.2071864,-122.3706794,Tideflat,1,1,1,0,1,0,0,0,0,0
381,Weavering Spit,Skagit,FORMER,NO,48.48124,-122.5868,Tideflat,0,0,1,0,0,0,0,0,0,1
503,Crockett Lake,Island,FORMER,NO,48.162159,-122.670856,Lagoon,1,0,0,1,1,0,0,1,1,0
566,Kennedy Creek,Mason,FORMER,NO,47.0975592,-123.0855003,Channel,0,0,1,1,0,0,0,0,1,1
